Features,MLP,Naive Bayes,RF,SVM,baseline
N-Grams + Attr,0.694,0.66,0.708,0.734,0.428
Attr,0.541,0.248,0.544,0.545,0.427
N-Grams,0.741,0.707,0.705,0.724,0.43
Embeddings,0.673,0.588,0.608,0.7,0.425
Embeddings + Attr,0.63,0.231,0.591,0.683,0.428
