Model,Model Details,Mean Acc,Std Acc,Mean F1,Std F1,Conf Matrix
MLP,"{'activation': 'tanh', 'batch_size': 32, 'hidden_layer_sizes': (64, 64, 64, 64), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.791005291005291,0.0,0.7288304895435105,0.0,"[array([[240,  39],
       [ 40,  59]])]"
Naive Bayes,{'var_smoothing': 1e-10},0.6296296296296297,0.0,0.5833333333333333,0.0,"[array([[182,  97],
       [ 43,  56]])]"
RF,"{'criterion': 'gini', 'max_depth': 16, 'max_features': 'sqrt', 'max_leaf_nodes': 256, 'n_estimators': 64}",0.7777777777777778,0.0,0.6098304251658885,0.0,"[array([[271,   8],
       [ 76,  23]])]"
SVM,"{'C': 8, 'cache_size': 32, 'coef0': 0, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7698412698412699,0.0,0.6765576592082616,0.0,"[array([[247,  32],
       [ 55,  44]])]"
baseline,Majority,0.7380952380952381,0.0,0.4246575342465754,0.0,"[array([[279,   0],
       [ 99,   0]])]"
