Model,Model details,Mean Acc,Std Acc,Mean F1,Std F1
Adaboost,AdaBoostClassifier(n_estimators=32),0.8100208768267223,0.0,0.7176238136883362,0.0
MLP,"MLPClassifier(early_stopping=True, hidden_layer_sizes=(64, 64, 64, 64))",0.8016701461377871,0.0,0.6964653775088883,0.0
Naive Bayes,MultinomialNB(),0.6492693110647182,0.0,0.6336186486978692,0.0
RF,"RandomForestClassifier(n_estimators=1024, n_jobs=8)",0.8079331941544885,0.0,0.7155288163602561,0.0
SVM,"SVC(C=5, max_iter=2000)",0.8225469728601252,0.0,0.7399083946058861,0.0
