Model,Model Details,Mean Acc,Std Acc,Mean F1,Std F1,Conf Matrix
MLP,"{'activation': 'tanh', 'batch_size': 32, 'hidden_layer_sizes': (32, 32), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'solver': 'adam'}",0.7519582245430809,0.0,0.6393704221303758,0.0,"[array([[251,  34],
       [ 61,  37]])]"
Naive Bayes,{'var_smoothing': 1e-06},0.7519582245430809,0.0,0.6663548916581845,0.0,"[array([[241,  44],
       [ 51,  47]])]"
RF,"{'criterion': 'entropy', 'max_depth': 64, 'max_features': 'log2', 'max_leaf_nodes': 256, 'n_estimators': 1024}",0.804177545691906,0.0,0.7103312660716987,0.0,"[array([[263,  22],
       [ 53,  45]])]"
SVM,"{'C': 16, 'cache_size': 32, 'coef0': 0, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7859007832898173,0.0,0.6846787148594378,0.0,"[array([[259,  26],
       [ 56,  42]])]"
baseline,Majority,0.7441253263707572,0.0,0.42664670658682635,0.0,"[array([[285,   0],
       [ 98,   0]])]"
