Model,Model Details,Mean Acc,Std Acc,Mean F1,Std F1,Conf Matrix
MLP,"{'activation': 'tanh', 'batch_size': 64, 'hidden_layer_sizes': (64, 64, 64, 64), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.762402088772846,0.0,0.6848420729005598,0.0,"[array([[241,  44],
       [ 47,  51]])]"
Naive Bayes,{'var_smoothing': 1e-06},0.27154046997389036,0.0,0.2289647807546053,0.0,"[array([[  7, 278],
       [  1,  97]])]"
RF,"{'criterion': 'entropy', 'max_depth': 32, 'max_features': 'sqrt', 'max_leaf_nodes': 128, 'n_estimators': 64}",0.7754569190600522,0.0,0.6016207063376875,0.0,"[array([[275,  10],
       [ 76,  22]])]"
SVM,"{'C': 8, 'cache_size': 32, 'coef0': 0, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.783289817232376,0.0,0.6736409835224064,0.0,"[array([[261,  24],
       [ 59,  39]])]"
baseline,Majority,0.7441253263707572,0.0,0.42664670658682635,0.0,"[array([[285,   0],
       [ 98,   0]])]"
