Features,MLP,Naive Bayes,RF,SVM,baseline
N-Grams + Attr,"{'activation': 'relu', 'batch_size': 32, 'hidden_layer_sizes': (32, 32, 32), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'solver': 'sgd'}",{'var_smoothing': 1e-06},"{'criterion': 'gini', 'max_depth': 64, 'max_features': 'sqrt', 'max_leaf_nodes': 512, 'n_estimators': 512}","{'C': 1, 'cache_size': 32, 'coef0': 0, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",Majority
Attr,"{'activation': 'relu', 'batch_size': 32, 'hidden_layer_sizes': (64, 64, 64, 64), 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'solver': 'sgd'}",{'var_smoothing': 1e-07},"{'criterion': 'gini', 'max_depth': 32, 'max_features': 'sqrt', 'max_leaf_nodes': 512, 'n_estimators': 64}","{'C': 64, 'cache_size': 32, 'coef0': 0, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",Majority
N-Grams,"{'activation': 'tanh', 'batch_size': 32, 'hidden_layer_sizes': (32, 32), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'solver': 'adam'}",{'var_smoothing': 1e-06},"{'criterion': 'entropy', 'max_depth': 64, 'max_features': 'log2', 'max_leaf_nodes': 256, 'n_estimators': 1024}","{'C': 16, 'cache_size': 32, 'coef0': 0, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",Majority
Embeddings,"{'activation': 'tanh', 'batch_size': 32, 'hidden_layer_sizes': (64, 64, 64, 64), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'solver': 'sgd'}",{'var_smoothing': 1e-10},"{'criterion': 'gini', 'max_depth': 16, 'max_features': 'sqrt', 'max_leaf_nodes': 256, 'n_estimators': 64}","{'C': 8, 'cache_size': 32, 'coef0': 0, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",Majority
Embeddings + Attr,"{'activation': 'tanh', 'batch_size': 64, 'hidden_layer_sizes': (64, 64, 64, 64), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'sgd'}",{'var_smoothing': 1e-06},"{'criterion': 'entropy', 'max_depth': 32, 'max_features': 'sqrt', 'max_leaf_nodes': 128, 'n_estimators': 64}","{'C': 8, 'cache_size': 32, 'coef0': 0, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",Majority
